name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
108,"-70.81929560235,-33.12185464955","-70.8193034131,-33.121592922","-70.819314202,-33.1221159914","-70.8192877916,-33.1221163771","-70.8192770027,-33.1215933077",180.98967703274013,0.002459892639689578
109,"-70.819348148075,-33.12132614595","-70.8193667477,-33.1215874878","-70.8193403374,-33.1215878735","-70.8193295485,-33.1210648041","-70.8193559587,-33.1210644184",180.98969345044972,0.0024598934724788636
110,"-70.81928472062499,-33.121327072275","-70.8192925314,-33.1210653447","-70.8193033201,-33.1215884141","-70.8192769098,-33.1215887999","-70.8192661212,-33.1210657304",180.98966021572772,0.002459893543487587
111,"-70.81950821039999,-33.122934071475","-70.8195268111,-33.1231954132","-70.8195004003,-33.123195799","-70.8194896098,-33.1226727297","-70.8195160204,-33.122672344",180.98982693403582,0.0024598904434771115
112,"-70.8194447818,-33.122934997925","-70.819452592,-33.1226732704","-70.8194633823,-33.1231963397","-70.8194369715,-33.1231967254","-70.8194261814,-33.1226736562",180.98978440814426,0.0024598904175331753
113,"-70.81939223615,-33.12346350142501","-70.8194108367,-33.1237248432","-70.8193844257,-33.1237252289","-70.8193736357,-33.1232021597","-70.8194000465,-33.1232017739",180.98977520222957,0.00245989423921594
114,"-70.81932880715,-33.123464427875","-70.8193366177,-33.1232027004","-70.8193474075,-33.1237257696","-70.8193209965,-33.1237261554","-70.8193102069,-33.1232030861",180.9897326773459,0.002459894213932722
115,"-70.81924305614999,-33.122383153049995","-70.8192616559,-33.1226444949","-70.8192352452,-33.1226448806","-70.8192244565,-33.1221218112","-70.819250867,-33.1221214255",180.98966782730204,0.00245989646216969
116,"-70.81917962795,-33.122384079350006","-70.819187439,-33.1221223518","-70.8191982275,-33.1226454212","-70.8191718168,-33.1226458069","-70.8191610285,-33.1221227375",180.9896253011064,0.0024598964368918765
117,"-70.8192321745,-33.121855575850006","-70.819250774,-33.1221169177","-70.8192243635,-33.1221173034","-70.8192135751,-33.121594234","-70.8192399854,-33.1215938483",180.98964629899498,0.002459892614384602
118,"-70.819168746675,-33.121856502149996","-70.8191765578,-33.1215947746","-70.819187346,-33.122117844","-70.8191609355,-33.1221182297","-70.8191501474,-33.1215951603",180.98960834850158,0.002459897244834677
119,"-70.81922129315,-33.1213279986","-70.8192398924,-33.1215893405","-70.8192134821,-33.1215897262","-70.819202694,-33.1210666567","-70.8192291041,-33.121066271",180.98962458146715,0.002459888765507061
120,"-70.819157865725,-33.1213289249","-70.8191656769,-33.1210671973","-70.8191764648,-33.1215902668","-70.8191500545,-33.1215906525","-70.8191392667,-33.121067583",180.9895866304728,0.0024598933940008427
121,"-70.819381353175,-33.122935924375","-70.8193999535,-33.1231972661","-70.8193735427,-33.1231976519","-70.8193627529,-33.1226745826","-70.8193891636,-33.1226741969",180.98975824965214,0.0024598950459427107
122,"-70.81931792457499,-33.122936850775","-70.8193257352,-33.1226751233","-70.8193365247,-33.1231981925","-70.8193101139,-33.1231985783","-70.8192993245,-33.122675509",180.9897157253622,0.002459895021323163
123,"-70.819265378175,-33.123465354225","-70.8192839783,-33.123726696","-70.8192575674,-33.1237270817","-70.8192467781,-33.1232040125","-70.8192731889,-33.1232036267",180.9897065254521,0.0024598895323698416
124,"-70.819201949175,-33.1234662806","-70.8192097601,-33.1232045531","-70.8192205491,-33.1237276224","-70.8191941382,-33.1237280081","-70.8191833493,-33.1232049388",180.98966367491943,0.002459889408163321
