name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
570,"-70.83142983465001,-33.1150713519","-70.8314376097,-33.1148096246","-70.8314484678,-33.115332691","-70.8314220595,-33.1153330792","-70.8314112016,-33.1148100128",180.99609699875595,0.0024598825715475116
571,"-70.8316387515,-33.1157087449","-70.8316573855,-33.1159700839","-70.831630977,-33.1159704722","-70.8316201176,-33.1154474059","-70.8316465259,-33.1154470176",180.99623370160495,0.0024598835460988115
572,"-70.83157532850001,-33.1157096774","-70.8315831031,-33.1154479501","-70.8315939623,-33.1159710164","-70.8315675538,-33.1159714047","-70.8315566948,-33.1154483384",180.9961911366205,0.002459883520654318
573,"-70.83135489967499,-33.11451766325","-70.8313735324,-33.1147790024","-70.8313471243,-33.1147793906","-70.831336267,-33.1142563241","-70.831362675,-33.1142559359",180.9960494950791,0.0024598841037569027
574,"-70.831291477475,-33.11451859555","-70.831299253,-33.1142568682","-70.83131011,-33.1147799347","-70.8312837019,-33.1147803229","-70.831272845,-33.1142572564",180.99600693096414,0.0024598840776575348
575,"-70.83134394885,-33.11399008892501","-70.8313625814,-33.1142514281","-70.8313361734,-33.1142518163","-70.8313253164,-33.1137287497","-70.8313517242,-33.1137283616",180.9960322495245,0.0024598848075978418
576,"-70.831280527125,-33.1139910212","-70.8312883027,-33.1137292938","-70.8312991594,-33.1142523604","-70.8312727515,-33.1142527486","-70.8312618949,-33.113729682",180.99598524662267,0.002459880223598395
577,"-70.83136641212499,-33.11507228425","-70.8313850451,-33.1153336234","-70.8313586368,-33.1153340116","-70.8313477792,-33.1148109451","-70.8313741874,-33.1148105569",180.99607068349124,0.0024598872015308398
578,"-70.83130298959999,-33.11507321655","-70.831310765,-33.1148114892","-70.8313216224,-33.1153345557","-70.8312952141,-33.1153349439","-70.8312843569,-33.1148118774",180.9960326996649,0.002459882519346307
579,"-70.831511905525,-33.115710609825","-70.8315305391,-33.1159719489","-70.8315041307,-33.1159723371","-70.831493272,-33.1154492708","-70.8315196803,-33.1154488825",180.99616469111731,0.0024598787409578545
580,"-70.831448482525,-33.1157115422","-70.8314562575,-33.1154498149","-70.8314671159,-33.1159728813","-70.8314407075,-33.1159732695","-70.8314298492,-33.1154502031",180.99612179981554,0.002459878616617159
581,"-70.83122805535001,-33.114519527774995","-70.8312466877,-33.114780867","-70.8312202796,-33.1147812551","-70.8312094231,-33.1142581886","-70.831235831,-33.1142578004",180.9959804837022,0.0024598792978950223
582,"-70.831164633225,-33.114520460025005","-70.8311724091,-33.1142587327","-70.8311832654,-33.1147817992","-70.8311568573,-33.1147821874","-70.8311460011,-33.1142591208",180.99594249486648,0.0024598839285728522
583,"-70.83123956704999,-33.11507414885","-70.8312581996,-33.115335488","-70.8312317914,-33.1153358762","-70.8312209345,-33.1148128097","-70.8312473427,-33.1148124215",180.9960019986478,0.002459882493274132
584,"-70.8311761445,-33.1150750811","-70.8311839203,-33.1148133538","-70.8311947769,-33.1153364203","-70.8311683686,-33.1153368084","-70.8311575122,-33.1148137419",180.99595897329212,0.002459882272713937
585,"-70.831385059525,-33.1157124746","-70.8314036928,-33.1159738137","-70.8313772843,-33.1159742019","-70.8313664263,-33.1154511355","-70.8313928347,-33.1154507473",180.99610024942018,0.002459887902587529
586,"-70.831321636525,-33.1157134069","-70.8313294119,-33.1154516796","-70.8313402696,-33.115974746","-70.8313138611,-33.1159751342","-70.8313030035,-33.1154520678",180.9960576857654,0.0024598878771485808
